               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046177,             0.06261,            0.019082,             0.64584,             0.66745,             0.71214,             0.46588,            0.041021,             0.03705,           0.0098751,               7e-05,               7e-05,             0.09937
                   1,            0.045034,            0.070293,            0.017923,             0.72411,             0.64457,             0.72664,             0.47522,            0.040754,            0.036841,           0.0095275,           0.0001495,           0.0001495,             0.09865
                   2,            0.045518,            0.066071,            0.017603,             0.71276,              0.6543,             0.72635,             0.47613,            0.040541,            0.036596,           0.0092218,          0.00022848,          0.00022848,            0.097928
                   3,             0.04551,            0.062157,            0.016902,             0.72833,             0.65271,             0.73124,             0.48079,            0.040263,            0.036416,           0.0089084,          0.00030693,          0.00030693,            0.097207
