               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046177,            0.062612,             0.01908,             0.64516,             0.66584,             0.71167,             0.46507,            0.041022,            0.037054,           0.0098749,               7e-05,               7e-05,             0.09937
                   1,            0.045035,            0.070293,            0.017924,             0.72358,             0.64343,             0.72673,             0.47541,            0.040758,            0.036844,           0.0095287,           0.0001495,           0.0001495,             0.09865
                   2,            0.045518,            0.066071,            0.017602,             0.71569,             0.65225,             0.72623,             0.47557,            0.040542,            0.036602,           0.0092227,          0.00022848,          0.00022848,            0.097928
                   3,            0.045509,            0.062153,            0.016905,             0.72453,             0.65797,             0.73112,             0.48028,            0.040264,            0.036416,           0.0089043,          0.00030693,          0.00030693,            0.097207
                   4,            0.045641,            0.066217,            0.016505,              0.8248,             0.60686,             0.73624,             0.48901,             0.04002,            0.036277,            0.008561,          0.00038485,          0.00038485,            0.096485
                   5,            0.045338,            0.070135,            0.016099,             0.71592,             0.68275,             0.74114,             0.49221,            0.039792,            0.036179,           0.0082803,          0.00046225,          0.00046225,            0.095762
                   6,            0.043411,            0.058782,            0.017152,             0.74566,              0.6731,             0.74843,             0.50039,            0.039637,            0.035947,           0.0080324,          0.00053911,          0.00053911,            0.095039
                   7,            0.044289,            0.061141,            0.014661,             0.74827,             0.67096,             0.75909,             0.50449,            0.039536,            0.035611,           0.0078629,          0.00061545,          0.00061545,            0.094315
                   8,            0.042708,            0.061814,            0.015862,             0.75438,             0.67773,             0.76286,             0.51289,            0.039312,            0.035336,           0.0076323,          0.00069126,          0.00069126,            0.093591
                   9,            0.042581,            0.057697,            0.014351,             0.80109,             0.67229,             0.76595,             0.50894,            0.039069,             0.03509,           0.0073761,          0.00076654,          0.00076654,            0.092867
                  10,            0.042926,            0.059844,            0.013935,             0.82092,             0.66855,             0.76928,              0.5112,            0.038792,             0.03467,           0.0071816,          0.00084129,          0.00084129,            0.092141
                  11,            0.041894,             0.05924,            0.012454,             0.82423,             0.68252,             0.77704,             0.52416,            0.038617,            0.034284,           0.0069572,          0.00091551,          0.00091551,            0.091416
                  12,            0.042311,            0.056328,             0.01349,             0.77509,              0.7223,             0.78941,             0.52822,            0.038475,            0.033983,           0.0067834,          0.00098921,          0.00098921,            0.090689
                  13,            0.043785,            0.063563,            0.014167,             0.78794,             0.73618,             0.79643,             0.53443,            0.038311,            0.033696,           0.0065401,           0.0010624,           0.0010624,            0.089962
                  14,            0.042901,            0.059036,            0.012608,              0.7904,             0.74146,              0.8011,             0.53809,            0.037923,            0.033273,           0.0063873,            0.001135,            0.001135,            0.089235
                  15,            0.041929,            0.058144,            0.012499,             0.80452,             0.73724,             0.80451,             0.54337,            0.037701,            0.032928,           0.0062061,           0.0012071,           0.0012071,            0.088507
                  16,            0.041315,            0.052335,            0.012837,             0.79278,             0.73624,             0.80993,             0.54673,            0.037741,             0.03259,           0.0060729,           0.0012787,           0.0012787,            0.087779
                  17,            0.042527,            0.061106,            0.012997,             0.84908,             0.71177,             0.81431,             0.54991,            0.037983,            0.032538,           0.0058553,           0.0013498,           0.0013498,             0.08705
                  18,            0.042347,            0.063929,            0.012392,             0.83319,             0.74065,              0.8176,             0.55887,            0.037206,            0.032237,           0.0056891,           0.0014203,           0.0014203,             0.08632
                  19,            0.041644,            0.060117,            0.011661,             0.82247,             0.75156,             0.82411,             0.56734,            0.036923,            0.031969,           0.0055078,           0.0014903,           0.0014903,             0.08559
                  20,            0.042344,            0.054542,            0.011803,             0.82691,             0.75854,             0.82351,             0.57135,            0.036914,            0.031373,           0.0053738,           0.0015598,           0.0015598,             0.08486
                  21,            0.041063,            0.056083,             0.01057,             0.84652,             0.75063,             0.82887,             0.56389,            0.037173,            0.030986,           0.0052489,           0.0016287,           0.0016287,            0.084129
                  22,            0.041054,            0.055363,            0.011225,             0.82314,             0.76468,             0.83304,              0.5665,            0.036967,            0.030678,           0.0050854,           0.0016971,           0.0016971,            0.083397
                  23,            0.040747,            0.055954,            0.011597,              0.8384,             0.76134,             0.83234,             0.57574,            0.036933,            0.030473,           0.0050041,            0.001765,            0.001765,            0.082665
                  24,            0.040271,            0.053368,            0.011051,             0.86744,             0.75654,             0.83588,             0.57596,             0.03686,            0.030329,           0.0050047,           0.0018324,           0.0018324,            0.081932
                  25,            0.041939,            0.053507,            0.010006,             0.85788,             0.75869,             0.84135,              0.5795,            0.036893,             0.03013,           0.0047611,           0.0018992,           0.0018992,            0.081199
                  26,            0.041567,            0.057708,             0.00968,             0.86159,             0.75697,             0.84357,             0.58121,            0.036905,             0.02991,           0.0045964,           0.0019655,           0.0019655,            0.080466
                  27,            0.039845,             0.04849,            0.010266,             0.86941,             0.75038,             0.84862,             0.59315,            0.035991,             0.02957,           0.0045534,           0.0020313,           0.0020313,            0.079731
                  28,            0.042731,            0.053403,            0.010596,             0.85777,             0.77492,             0.85259,             0.59219,            0.035966,            0.029556,           0.0044156,           0.0020966,           0.0020966,            0.078997
                  29,             0.04009,            0.052743,           0.0096057,              0.8534,             0.78096,              0.8502,             0.59234,            0.036418,            0.029677,           0.0043229,           0.0021613,           0.0021613,            0.078261
                  30,            0.041394,            0.052476,           0.0088814,             0.85628,             0.78305,              0.8513,             0.59007,            0.036346,             0.02943,           0.0042545,           0.0022255,           0.0022255,            0.077525
                  31,            0.040279,            0.055005,           0.0098465,             0.85301,             0.78692,             0.85179,             0.59501,            0.035746,            0.029286,            0.004138,           0.0022891,           0.0022891,            0.076789
                  32,            0.042123,            0.053087,           0.0096461,                0.86,             0.79251,             0.85606,             0.58327,            0.036362,            0.029101,           0.0040941,           0.0023523,           0.0023523,            0.076052
                  33,            0.041992,            0.053805,           0.0098664,             0.88568,             0.78096,             0.85511,             0.59079,            0.035681,             0.02864,           0.0040401,           0.0024149,           0.0024149,            0.075315
                  34,             0.03781,            0.046933,            0.008976,             0.90386,             0.78149,             0.85783,             0.59579,            0.036384,            0.028511,           0.0039596,            0.002477,            0.002477,            0.074577
                  35,            0.038694,            0.050225,           0.0092616,             0.90567,             0.77477,             0.86129,             0.60865,            0.035816,            0.027929,           0.0039752,           0.0025385,           0.0025385,            0.073839
                  36,            0.039568,             0.05118,            0.008607,             0.86433,             0.80147,             0.86416,             0.60887,            0.035259,            0.027758,           0.0039382,           0.0025995,           0.0025995,              0.0731
                  37,            0.038495,            0.045943,           0.0093886,             0.90257,             0.78211,             0.86903,             0.60215,            0.035284,             0.02777,           0.0038819,             0.00266,             0.00266,             0.07236
                  38,            0.039559,            0.046756,           0.0084659,             0.90865,             0.79398,             0.87322,             0.61435,            0.034682,            0.027261,           0.0037194,             0.00272,             0.00272,             0.07162
                  39,            0.039546,            0.045007,           0.0080648,             0.88817,             0.77584,              0.8672,             0.61344,            0.035302,            0.027217,           0.0036687,           0.0027794,           0.0027794,            0.070879
                  40,              0.0414,            0.053328,           0.0088989,             0.91487,             0.78474,             0.87769,              0.6227,            0.034995,            0.027423,           0.0036994,           0.0028384,           0.0028384,            0.070138
                  41,            0.038975,            0.045348,           0.0076158,             0.88947,             0.78865,             0.86961,             0.61628,            0.035208,            0.027221,           0.0037038,           0.0028967,           0.0028967,            0.069397
                  42,            0.039219,            0.046477,           0.0088421,             0.90133,             0.78203,             0.86962,             0.60396,            0.036144,            0.026921,           0.0036552,           0.0029546,           0.0029546,            0.068655
                  43,            0.040608,            0.046338,           0.0078791,             0.88808,              0.7944,             0.87282,             0.60771,            0.036562,            0.026893,           0.0036797,           0.0030119,           0.0030119,            0.067912
                  44,            0.037433,            0.049511,           0.0080249,              0.9027,             0.80206,             0.87689,              0.6226,             0.03487,              0.0268,           0.0036664,           0.0030687,           0.0030687,            0.067169
                  45,            0.037279,            0.048643,           0.0077723,             0.88014,              0.8071,             0.87173,             0.61449,            0.035341,            0.026815,           0.0036448,            0.003125,            0.003125,            0.066425
                  46,            0.038948,            0.051659,           0.0086738,             0.87414,             0.82193,             0.87843,             0.62074,            0.034536,            0.026492,           0.0035487,           0.0031808,           0.0031808,            0.065681
                  47,            0.039541,            0.047617,           0.0087348,             0.87397,              0.8227,             0.87891,             0.61636,            0.035488,            0.026552,           0.0035142,            0.003236,            0.003236,            0.064936
                  48,            0.037811,            0.044115,           0.0077851,             0.87309,             0.81577,             0.87999,             0.61679,            0.035117,            0.026363,           0.0035465,           0.0032907,           0.0032907,            0.064191
                  49,            0.037925,            0.049763,           0.0079822,             0.87298,             0.81993,             0.88168,             0.61779,            0.035712,            0.026088,           0.0034181,           0.0033448,           0.0033448,            0.063445
                  50,            0.038717,            0.047028,           0.0073478,             0.88589,             0.82106,             0.89062,             0.61479,            0.035236,            0.025926,            0.003355,           0.0033985,           0.0033985,            0.062698
                  51,            0.040454,             0.05029,           0.0076903,             0.89714,             0.82569,             0.89075,             0.63578,            0.034174,             0.02561,           0.0032846,           0.0034516,           0.0034516,            0.061952
                  52,            0.038317,            0.047454,           0.0068581,             0.89589,             0.82205,             0.88908,             0.64103,            0.034008,              0.0253,           0.0032368,           0.0035041,           0.0035041,            0.061204
                  53,            0.038644,            0.047976,           0.0072443,             0.89188,             0.83402,             0.89366,             0.62659,            0.034137,            0.024925,           0.0032243,           0.0035562,           0.0035562,            0.060456
                  54,            0.038092,            0.045604,           0.0070543,             0.90058,             0.82132,             0.89642,             0.63231,            0.036002,            0.024866,           0.0032497,           0.0036077,           0.0036077,            0.059708
                  55,            0.038431,            0.044893,           0.0074283,             0.91701,              0.8056,              0.8941,             0.64711,            0.033637,             0.02476,           0.0032435,           0.0036587,           0.0036587,            0.058959
                  56,             0.03819,            0.045787,           0.0077712,             0.91553,             0.81752,             0.89654,             0.63879,            0.034032,            0.024803,            0.003197,           0.0037092,           0.0037092,            0.058209
                  57,            0.036361,             0.04855,           0.0069929,             0.86694,             0.85113,             0.90133,             0.64332,            0.033893,            0.024521,           0.0031381,           0.0037591,           0.0037591,            0.057459
                  58,            0.037951,            0.043703,           0.0075874,             0.88487,             0.82339,             0.89601,             0.64631,            0.033436,            0.024796,           0.0032485,           0.0038085,           0.0038085,            0.056709
                  59,            0.038922,            0.046774,           0.0069866,             0.86724,             0.82311,             0.89401,             0.63959,            0.033798,            0.024506,           0.0031818,           0.0038574,           0.0038574,            0.055957
                  60,            0.038037,            0.042562,           0.0076895,             0.88851,             0.82371,              0.8942,             0.64861,              0.0331,            0.024778,            0.003154,           0.0039057,           0.0039057,            0.055206
                  61,            0.036665,            0.044839,           0.0066823,             0.90709,             0.81569,              0.8944,             0.63264,            0.033376,            0.024786,            0.003099,           0.0039536,           0.0039536,            0.054454
                  62,            0.037772,            0.049519,           0.0067915,             0.85364,             0.83927,             0.89374,             0.63647,            0.035161,            0.024625,           0.0031318,           0.0040009,           0.0040009,            0.053701
                  63,            0.041976,             0.04512,           0.0064601,             0.80952,             0.81542,               0.867,             0.56136,            0.038595,            0.024949,           0.0031337,           0.0040476,           0.0040476,            0.052948
                  64,            0.044126,            0.046276,           0.0076834,               0.884,             0.82945,             0.90071,             0.62993,            0.035426,            0.024539,           0.0031328,           0.0040939,           0.0040939,            0.052194
                  65,             0.03797,            0.046809,           0.0072885,             0.88512,             0.85061,             0.89673,             0.62237,            0.034612,            0.024465,           0.0031876,           0.0041396,           0.0041396,             0.05144
                  66,            0.039003,            0.045791,           0.0071891,             0.89385,             0.84273,             0.89592,             0.62083,             0.03444,            0.024387,           0.0032841,           0.0041848,           0.0041848,            0.050685
                  67,            0.039264,            0.049858,           0.0075084,             0.89333,             0.84981,             0.90343,             0.63315,            0.034252,            0.024611,           0.0033461,           0.0042294,           0.0042294,            0.049929
                  68,            0.037608,            0.043745,           0.0076907,             0.87033,             0.84133,             0.89603,              0.6398,            0.034505,            0.024055,           0.0033293,           0.0042736,           0.0042736,            0.049174
                  69,            0.041566,            0.048522,           0.0072981,             0.89427,              0.8557,             0.90769,             0.63493,            0.034988,            0.024212,             0.00326,           0.0043172,           0.0043172,            0.048417
                  70,            0.041198,            0.044726,           0.0074177,             0.87449,              0.8478,             0.90622,             0.62709,            0.035507,              0.0244,           0.0032622,           0.0043602,           0.0043602,             0.04766
                  71,            0.038216,            0.045952,           0.0079814,             0.89542,             0.84774,             0.91196,             0.63824,            0.032518,            0.023976,            0.003258,           0.0044028,           0.0044028,            0.046903
                  72,            0.036671,            0.041363,           0.0064318,             0.90916,             0.84344,             0.90864,             0.65455,            0.032673,            0.023641,           0.0032172,           0.0044448,           0.0044448,            0.046145
                  73,            0.039462,            0.041568,           0.0078832,             0.91153,             0.83501,             0.91253,             0.65251,            0.033656,            0.023621,           0.0032851,           0.0044863,           0.0044863,            0.045386
                  74,            0.038313,            0.047153,           0.0069466,             0.90114,             0.82982,              0.9064,             0.64248,            0.033155,            0.023302,           0.0033142,           0.0045272,           0.0045272,            0.044627
                  75,            0.037848,             0.04359,           0.0068908,             0.92598,             0.82651,             0.91501,             0.65251,            0.033633,            0.023356,           0.0033199,           0.0045677,           0.0045677,            0.043868
                  76,            0.038234,            0.041155,           0.0066705,             0.90287,              0.8242,             0.90964,             0.64129,            0.033868,            0.024132,           0.0034482,           0.0046076,           0.0046076,            0.043108
                  77,            0.038254,             0.04274,           0.0069846,             0.91028,             0.84403,             0.91549,             0.64991,            0.032296,            0.023339,           0.0032991,            0.004647,            0.004647,            0.042347
                  78,             0.03867,            0.044041,           0.0069166,             0.91337,             0.84767,             0.92149,             0.63508,            0.033587,            0.023564,           0.0032121,           0.0046858,           0.0046858,            0.041586
                  79,            0.038791,            0.045695,           0.0065903,             0.88989,             0.86172,              0.9187,             0.64263,            0.033101,            0.023642,           0.0032136,           0.0047241,           0.0047241,            0.040824
                  80,            0.037039,            0.046379,            0.006308,             0.92586,             0.85262,             0.92256,             0.65192,            0.032649,            0.023333,           0.0031993,           0.0047619,           0.0047619,            0.040062
                  81,            0.038321,            0.044587,           0.0070138,             0.88266,             0.86781,             0.91879,             0.63722,             0.03308,            0.023365,           0.0032024,           0.0047992,           0.0047992,            0.039299
                  82,             0.03802,            0.040198,           0.0062124,             0.89163,             0.84899,             0.91092,             0.62081,            0.033791,            0.023154,           0.0032546,           0.0048359,           0.0048359,            0.038536
                  83,            0.037172,            0.042542,             0.00712,             0.91433,             0.84854,             0.91269,             0.63806,            0.032109,            0.023503,           0.0032474,           0.0048721,           0.0048721,            0.037772
                  84,             0.03724,            0.040528,           0.0064205,             0.88723,             0.85805,             0.91428,             0.63819,            0.032504,            0.023253,           0.0032797,           0.0049078,           0.0049078,            0.037008
                  85,            0.040213,            0.044954,           0.0070178,              0.9186,             0.83804,             0.91454,             0.63852,            0.033942,            0.023298,           0.0033128,            0.004943,            0.004943,            0.036243
                  86,            0.039075,            0.040306,           0.0066783,             0.88952,             0.84368,             0.90812,             0.63591,            0.033532,            0.022891,           0.0033537,           0.0049776,           0.0049776,            0.035478
                  87,            0.037135,            0.042454,           0.0073447,             0.90636,             0.85145,             0.91739,              0.6464,            0.033628,            0.022833,           0.0033851,           0.0050117,           0.0050117,            0.034712
                  88,            0.039458,            0.043392,           0.0071054,             0.91981,             0.85024,             0.91999,             0.60827,            0.035571,            0.023228,            0.003493,           0.0050453,           0.0050453,            0.033945
                  89,            0.037131,            0.042504,           0.0069021,             0.89411,             0.84556,             0.91604,             0.64062,             0.03226,            0.022827,            0.003492,           0.0050783,           0.0050783,            0.033178
                  90,            0.038034,            0.041305,           0.0071311,             0.90889,              0.8461,             0.91712,             0.64513,            0.032502,             0.02284,           0.0033678,           0.0051108,           0.0051108,            0.032411
                  91,            0.038447,            0.040827,           0.0068845,             0.90661,             0.85385,             0.91419,             0.64632,            0.033178,            0.022999,           0.0033804,           0.0051428,           0.0051428,            0.031643
                  92,            0.037397,            0.041458,           0.0065557,             0.91034,             0.85896,             0.92121,             0.66095,            0.032352,            0.023455,           0.0033593,           0.0051743,           0.0051743,            0.030874
                  93,            0.039746,            0.043139,           0.0062803,             0.88883,             0.87168,             0.92498,             0.65377,            0.033527,            0.022676,           0.0033288,           0.0052052,           0.0052052,            0.030105
                  94,            0.039403,            0.043956,           0.0060918,             0.89899,             0.85406,             0.91841,             0.64457,            0.033583,            0.022637,            0.003385,           0.0052356,           0.0052356,            0.029336
                  95,            0.037693,            0.043099,            0.005812,             0.89944,             0.86473,             0.92796,              0.6437,            0.032138,            0.022498,           0.0033803,           0.0052655,           0.0052655,            0.028565
                  96,            0.037683,            0.046492,           0.0065042,             0.92158,             0.85084,             0.93345,             0.65132,            0.032322,            0.022704,           0.0033307,           0.0052948,           0.0052948,            0.027795
                  97,            0.036944,             0.03793,           0.0069637,             0.89773,             0.86537,             0.92698,             0.65645,            0.031867,            0.022525,           0.0032962,           0.0053236,           0.0053236,            0.027024
                  98,            0.036081,            0.043178,           0.0067525,             0.92025,             0.84023,             0.92326,             0.62147,             0.03442,            0.023353,           0.0032728,           0.0053519,           0.0053519,            0.026252
                  99,             0.03963,            0.043075,           0.0060379,             0.91289,             0.82693,             0.91823,             0.63585,            0.034261,            0.023099,           0.0032908,           0.0053797,           0.0053797,             0.02548
                 100,            0.038952,            0.043476,           0.0068364,             0.89086,             0.85648,             0.92395,             0.63573,            0.033987,            0.022851,           0.0033708,           0.0054069,           0.0054069,            0.024707
                 101,            0.038347,            0.042785,           0.0072595,             0.91537,             0.84652,             0.92823,             0.65739,            0.032241,             0.02278,           0.0033642,           0.0054336,           0.0054336,            0.023934
                 102,            0.037161,            0.046919,           0.0069428,             0.92731,             0.84201,              0.9225,              0.6468,            0.032839,            0.022639,           0.0033143,           0.0054598,           0.0054598,             0.02316
                 103,            0.036322,            0.041549,           0.0062123,             0.91832,             0.85558,             0.92324,             0.64866,            0.033187,            0.022664,           0.0032693,           0.0054854,           0.0054854,            0.022385
                 104,            0.037275,             0.04253,            0.007084,             0.90935,             0.84925,             0.92084,             0.64732,            0.032876,            0.022412,           0.0031935,           0.0055106,           0.0055106,            0.021611
                 105,             0.03744,            0.045087,            0.006773,             0.88818,             0.87146,             0.91635,             0.66035,            0.032431,            0.022386,           0.0032328,           0.0055351,           0.0055351,            0.020835
                 106,            0.039414,            0.043582,           0.0062169,             0.88302,             0.86349,             0.92175,             0.59554,            0.038947,            0.023735,           0.0033156,           0.0055592,           0.0055592,            0.020059
                 107,            0.039391,            0.043725,           0.0058863,             0.91618,             0.84627,             0.91806,             0.65247,            0.032329,            0.022682,           0.0032356,           0.0055827,           0.0055827,            0.019283
                 108,            0.035584,            0.038332,           0.0063727,              0.9252,             0.83463,             0.91352,             0.65273,            0.032036,            0.022505,           0.0032761,           0.0056058,           0.0056058,            0.018506
                 109,            0.037623,            0.042443,           0.0065553,             0.88558,             0.84524,             0.90933,             0.63721,            0.032449,            0.022949,           0.0033901,           0.0056282,           0.0056282,            0.017728
                 110,              0.0375,            0.043652,           0.0065507,             0.88529,             0.86572,             0.92051,             0.66795,             0.03188,            0.022201,           0.0033109,           0.0056502,           0.0056502,             0.01695
                 111,            0.036676,            0.042179,           0.0067185,             0.92523,             0.83192,             0.92209,             0.64994,            0.032447,            0.022722,           0.0033698,           0.0056716,           0.0056716,            0.016172
                 112,            0.037978,            0.040014,           0.0064774,             0.93385,             0.83497,             0.92481,             0.64735,            0.033594,            0.022634,           0.0032922,           0.0056925,           0.0056925,            0.015393
                 113,            0.038564,            0.045688,           0.0059762,             0.84347,             0.88284,             0.92518,             0.64919,            0.033455,             0.02238,             0.00329,           0.0057129,           0.0057129,            0.014613
