               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046176,            0.062614,            0.019079,              0.6468,               0.666,             0.71161,             0.46563,            0.041019,            0.037051,           0.0098755,               7e-05,               7e-05,             0.09937
                   1,            0.045033,            0.070298,            0.017922,             0.71767,              0.6499,             0.72734,             0.47558,            0.040755,            0.036846,           0.0095275,           0.0001495,           0.0001495,             0.09865
                   2,            0.045517,            0.066061,            0.017601,             0.71328,             0.65422,             0.72604,             0.47498,            0.040539,            0.036593,           0.0092231,          0.00022848,          0.00022848,            0.097928
                   3,            0.045512,            0.062148,            0.016903,             0.72455,             0.65754,             0.73105,             0.48017,            0.040268,             0.03642,           0.0089074,          0.00030693,          0.00030693,            0.097207
                   4,            0.045641,            0.066217,            0.016502,             0.82587,             0.60592,             0.73614,             0.48854,            0.040015,            0.036274,           0.0085609,          0.00038485,          0.00038485,            0.096485
                   5,            0.045336,            0.070149,              0.0161,             0.71296,             0.68338,             0.74093,             0.49179,            0.039789,            0.036178,           0.0082809,          0.00046225,          0.00046225,            0.095762
                   6,            0.043415,            0.058785,            0.017155,              0.7431,             0.67205,             0.74762,              0.4998,            0.039635,            0.035952,           0.0080325,          0.00053911,          0.00053911,            0.095039
                   7,            0.044288,            0.061142,            0.014662,             0.75151,             0.67361,             0.75984,             0.50504,            0.039537,             0.03562,           0.0078647,          0.00061545,          0.00061545,            0.094315
                   8,            0.042705,            0.061808,            0.015863,              0.7532,             0.67677,              0.7627,             0.51218,            0.039315,            0.035336,            0.007632,          0.00069126,          0.00069126,            0.093591
                   9,             0.04258,            0.057695,             0.01435,             0.77196,             0.69076,             0.76669,             0.50917,            0.039072,            0.035089,           0.0073754,          0.00076654,          0.00076654,            0.092867
                  10,            0.042925,            0.059837,            0.013936,             0.80941,             0.67482,             0.76973,             0.51108,            0.038799,            0.034675,           0.0071826,          0.00084129,          0.00084129,            0.092141
                  11,            0.041893,            0.059236,            0.012455,             0.82516,             0.68255,              0.7768,             0.52291,            0.038613,            0.034277,           0.0069568,          0.00091551,          0.00091551,            0.091416
                  12,            0.042312,            0.056336,            0.013488,             0.77354,               0.723,             0.78937,             0.52832,            0.038469,             0.03398,           0.0067839,          0.00098921,          0.00098921,            0.090689
                  13,            0.043791,            0.063563,            0.014165,             0.79164,             0.73429,             0.79615,             0.53313,            0.038302,            0.033692,           0.0065381,           0.0010624,           0.0010624,            0.089962
                  14,            0.042899,            0.059032,            0.012607,              0.7902,             0.74102,             0.80092,             0.54064,            0.037928,            0.033268,           0.0063879,            0.001135,            0.001135,            0.089235
                  15,            0.041929,            0.058133,            0.012501,             0.79665,             0.74263,             0.80521,             0.54238,            0.037705,            0.032917,           0.0062067,           0.0012071,           0.0012071,            0.088507
                  16,            0.041322,             0.05234,             0.01284,             0.84653,             0.71017,             0.81118,             0.54507,            0.037746,            0.032589,           0.0060722,           0.0012787,           0.0012787,            0.087779
                  17,            0.042524,            0.061117,            0.012996,             0.85233,             0.71032,             0.81322,             0.55219,            0.037985,            0.032542,           0.0058595,           0.0013498,           0.0013498,             0.08705
                  18,            0.042336,             0.06393,             0.01239,             0.83163,              0.7414,             0.81755,             0.55888,            0.037217,            0.032245,           0.0056942,           0.0014203,           0.0014203,             0.08632
                  19,            0.041647,            0.060114,            0.011664,              0.8221,             0.75064,             0.82168,             0.56723,            0.036944,            0.031984,           0.0055161,           0.0014903,           0.0014903,             0.08559
                  20,            0.042359,            0.054546,            0.011803,             0.82359,             0.76073,             0.82398,             0.57207,              0.0369,            0.031358,           0.0053767,           0.0015598,           0.0015598,             0.08486
                  21,            0.041059,            0.056074,            0.010573,             0.84408,              0.7506,             0.82952,             0.56595,            0.037212,            0.030976,           0.0052537,           0.0016287,           0.0016287,            0.084129
                  22,            0.041068,            0.055365,             0.01123,              0.8218,             0.76601,             0.83288,             0.56744,             0.03696,            0.030672,           0.0050889,           0.0016971,           0.0016971,            0.083397
                  23,            0.040738,            0.055956,            0.011601,             0.84261,             0.76282,             0.83338,             0.57657,            0.036906,            0.030474,           0.0050084,            0.001765,            0.001765,            0.082665
                  24,            0.040299,             0.05337,            0.011052,             0.86595,             0.75697,             0.83524,             0.57509,            0.036892,            0.030318,           0.0050064,           0.0018324,           0.0018324,            0.081932
                  25,            0.041941,            0.053494,            0.010012,             0.85814,              0.7575,             0.84117,             0.57669,            0.036886,             0.03013,           0.0047632,           0.0018992,           0.0018992,            0.081199
