               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11878,            0.031904,                   0,                   0,                   0,                   0,                   0,                   0,            0.025145,                   0,               5e-05,               5e-05,             0.09955
                   1,             0.12492,            0.032587,                   0,                   0,                   0,                   0,                   0,                   0,            0.023404,                   0,          0.00010946,          0.00010946,            0.099009
                   2,              0.1219,            0.030302,                   0,                   0,                   0,                   0,                   0,                   0,            0.021658,                   0,          0.00016832,          0.00016832,            0.098468
