               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11804,            0.031703,                   0,                   0,                   0,                   0,                   0,                   0,            0.024732,                   0,              0.0001,              0.0001,              0.0991
                   1,             0.12418,             0.03239,                   0,                   0,                   0,                   0,                   0,                   0,            0.022697,                   0,           0.0001996,           0.0001996,              0.0981
                   2,             0.11234,            0.030318,                   0,                   0,                   0,                   0,                   0,                   0,            0.020745,                   0,          0.00028832,          0.00028832,            0.097088
                   3,             0.11775,            0.027783,                   0,                   0,                   0,                   0,                   0,                   0,            0.019448,                   0,          0.00036615,          0.00036615,            0.096066
                   4,             0.10504,            0.028871,                   0,                   0,                   0,                   0,                   0,                   0,            0.018242,                   0,          0.00043308,          0.00043308,            0.095033
                   5,              0.1088,            0.029751,                   0,                   0,                   0,                   0,                   0,                   0,            0.016974,                   0,          0.00048912,          0.00048912,            0.093989
                   6,             0.10169,            0.029317,                   0,                   0,                   0,                   0,                   0,                   0,            0.015972,                   0,          0.00053428,          0.00053428,            0.092934
                   7,            0.089142,            0.029507,                   0,                   0,                   0,                   0,                   0,                   0,             0.01503,                   0,          0.00056855,          0.00056855,            0.091869
                   8,            0.087657,             0.02626,                   0,                   0,                   0,                   0,                   0,                   0,            0.014287,                   0,          0.00059192,          0.00059192,            0.090792
                   9,            0.077531,            0.026856,                   0,                   0,                   0,                   0,                   0,                   0,            0.013699,                   0,          0.00060441,          0.00060441,            0.089704
                  10,            0.092957,            0.026938,                   0,                   0,                   0,                   0,                   0,                   0,             0.01311,                   0,            0.000606,            0.000606,            0.088606
                  11,            0.089213,            0.027313,                   0,                   0,                   0,                   0,                   0,                   0,            0.012678,                   0,          0.00059671,          0.00059671,            0.087497
                  12,            0.089539,            0.027741,                   0,                   0,                   0,                   0,                   0,                   0,            0.012131,                   0,          0.00057652,          0.00057652,            0.086377
                  13,            0.077741,            0.027643,                   0,                   0,                   0,                   0,                   0,                   0,            0.011575,                   0,          0.00054544,          0.00054544,            0.085245
                  14,            0.085226,            0.025834,                   0,                   0,                   0,                   0,                   0,                   0,            0.011256,                   0,          0.00050348,          0.00050348,            0.084103
                  15,            0.074426,            0.026583,                   0,                   0,                   0,                   0,                   0,                   0,            0.010957,                   0,          0.00045062,          0.00045062,            0.082951
                  16,            0.085746,            0.031314,                   0,                   0,                   0,                   0,                   0,                   0,            0.010652,                   0,          0.00038688,          0.00038688,            0.081787
                  17,            0.080555,            0.028538,                   0,                   0,                   0,                   0,                   0,                   0,            0.010341,                   0,          0.00031225,          0.00031225,            0.080612
                  18,            0.074111,            0.026929,                   0,                   0,                   0,                   0,                   0,                   0,            0.010225,                   0,          0.00022672,          0.00022672,            0.079427
                  19,             0.07759,            0.030171,                   0,                   0,                   0,                   0,                   0,                   0,            0.010044,                   0,          0.00013031,          0.00013031,             0.07823
