               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046176,            0.062612,            0.019081,             0.64418,             0.66576,             0.71185,             0.46534,            0.041021,            0.037052,           0.0098746,               7e-05,               7e-05,             0.09937
                   1,            0.045035,            0.070292,            0.017924,             0.72278,             0.64286,             0.72662,             0.47533,            0.040756,            0.036837,           0.0095269,           0.0001495,           0.0001495,             0.09865
                   2,            0.045517,            0.066065,            0.017602,             0.71205,             0.65511,               0.726,              0.4751,            0.040539,            0.036597,           0.0092219,          0.00022848,          0.00022848,            0.097928
                   3,             0.04551,            0.062153,            0.016904,             0.72473,             0.65764,             0.73099,             0.48009,            0.040266,            0.036413,           0.0089059,          0.00030693,          0.00030693,            0.097207
                   4,             0.04564,            0.066214,            0.016504,             0.82516,             0.60638,             0.73617,             0.48886,            0.040015,            0.036279,           0.0085588,          0.00038485,          0.00038485,            0.096485
                   5,            0.045337,            0.070141,            0.016103,             0.71392,             0.68274,             0.74193,             0.49367,            0.039791,            0.036181,           0.0082799,          0.00046225,          0.00046225,            0.095762
                   6,            0.043415,             0.05879,            0.017153,             0.74166,             0.66987,             0.74754,             0.50028,            0.039635,            0.035956,           0.0080348,          0.00053911,          0.00053911,            0.095039
                   7,            0.044285,            0.061143,            0.014661,             0.74826,             0.67271,             0.75957,             0.50491,            0.039534,            0.035615,           0.0078657,          0.00061545,          0.00061545,            0.094315
                   8,            0.042703,            0.061808,            0.015862,             0.75527,             0.67709,             0.76254,              0.5133,            0.039308,            0.035341,           0.0076337,          0.00069126,          0.00069126,            0.093591
                   9,            0.042582,            0.057698,             0.01435,             0.79112,             0.67879,             0.76704,             0.50788,            0.039073,            0.035087,           0.0073795,          0.00076654,          0.00076654,            0.092867
                  10,            0.042929,            0.059844,            0.013934,             0.81052,              0.6743,             0.76995,             0.51225,            0.038796,            0.034667,           0.0071816,          0.00084129,          0.00084129,            0.092141
                  11,            0.041895,            0.059235,            0.012455,             0.82216,              0.6832,             0.77622,             0.52324,            0.038613,            0.034285,           0.0069589,          0.00091551,          0.00091551,            0.091416
                  12,            0.042311,            0.056332,            0.013493,             0.77632,             0.72322,             0.79022,             0.52665,             0.03848,            0.033981,            0.006787,          0.00098921,          0.00098921,            0.090689
