               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046176,            0.062618,            0.019079,             0.64508,              0.6669,             0.71139,             0.46547,            0.041021,            0.037048,           0.0098748,               7e-05,               7e-05,             0.09937
                   1,            0.045034,            0.070287,            0.017923,             0.72299,             0.64277,             0.72714,             0.47552,            0.040755,            0.036843,           0.0095288,           0.0001495,           0.0001495,             0.09865
                   2,            0.045516,            0.066071,              0.0176,             0.71276,             0.65435,             0.72605,             0.47482,            0.040539,            0.036601,           0.0092225,          0.00022848,          0.00022848,            0.097928
                   3,            0.045511,            0.062153,            0.016904,              0.7287,             0.65343,             0.73106,             0.48048,            0.040265,             0.03642,           0.0089078,          0.00030693,          0.00030693,            0.097207
                   4,            0.045639,            0.066219,            0.016504,              0.8251,             0.60643,             0.73629,              0.4888,            0.040017,            0.036276,           0.0085622,          0.00038485,          0.00038485,            0.096485
                   5,            0.045337,            0.070145,            0.016101,              0.7146,              0.6825,             0.74205,             0.49339,            0.039789,            0.036178,           0.0082808,          0.00046225,          0.00046225,            0.095762
                   6,            0.043413,            0.058784,            0.017153,             0.73933,             0.67025,             0.74765,             0.50149,            0.039634,            0.035949,           0.0080332,          0.00053911,          0.00053911,            0.095039
                   7,            0.044288,            0.061148,            0.014665,              0.7503,             0.67365,             0.75979,              0.5048,            0.039531,            0.035617,           0.0078642,          0.00061545,          0.00061545,            0.094315
                   8,            0.042702,            0.061808,            0.015863,             0.75327,             0.67789,             0.76269,             0.51177,            0.039307,            0.035343,           0.0076318,          0.00069126,          0.00069126,            0.093591
                   9,            0.042582,            0.057696,            0.014358,             0.79024,             0.67911,             0.76606,             0.50781,            0.039071,            0.035095,           0.0073775,          0.00076654,          0.00076654,            0.092867
                  10,            0.042925,            0.059843,            0.013934,             0.81309,              0.6762,             0.77082,             0.51202,            0.038788,            0.034671,           0.0071814,          0.00084129,          0.00084129,            0.092141
                  11,            0.041895,             0.05924,            0.012454,             0.82246,             0.68777,             0.77682,             0.52406,            0.038603,            0.034285,            0.006958,          0.00091551,          0.00091551,            0.091416
                  12,            0.042306,            0.056335,             0.01349,             0.77251,             0.72287,             0.78952,             0.52804,            0.038478,            0.033985,           0.0067843,          0.00098921,          0.00098921,            0.090689
                  13,             0.04379,            0.063563,            0.014168,             0.78742,             0.73583,             0.79658,             0.53449,            0.038303,            0.033697,           0.0065376,           0.0010624,           0.0010624,            0.089962
                  14,            0.042902,            0.059025,            0.012609,             0.78974,             0.73935,              0.8017,             0.53905,            0.037926,            0.033274,           0.0063833,            0.001135,            0.001135,            0.089235
                  15,            0.041926,             0.05813,              0.0125,             0.79615,             0.74314,               0.805,             0.54174,              0.0377,            0.032928,            0.006201,           0.0012071,           0.0012071,            0.088507
                  16,            0.041321,            0.052341,            0.012836,             0.84468,             0.70636,             0.80858,             0.54578,            0.037762,            0.032591,           0.0060681,           0.0012787,           0.0012787,            0.087779
                  17,             0.04253,            0.061122,            0.012995,             0.85197,             0.71077,             0.81429,             0.55183,            0.037964,            0.032539,           0.0058567,           0.0013498,           0.0013498,             0.08705
                  18,            0.042343,            0.063931,            0.012393,             0.83237,             0.73962,             0.81707,             0.55761,            0.037211,            0.032236,           0.0056894,           0.0014203,           0.0014203,             0.08632
                  19,            0.041645,            0.060112,            0.011661,             0.82544,             0.74963,             0.82162,             0.56707,            0.036923,             0.03197,           0.0055086,           0.0014903,           0.0014903,             0.08559
                  20,            0.042343,            0.054531,              0.0118,             0.83053,             0.75889,              0.8237,             0.57469,            0.036909,            0.031376,           0.0053776,           0.0015598,           0.0015598,             0.08486
                  21,            0.041122,            0.056073,            0.010566,             0.84582,             0.74968,              0.8278,             0.56461,            0.037184,            0.030999,           0.0052536,           0.0016287,           0.0016287,            0.084129
                  22,            0.041066,            0.055366,            0.011229,             0.82309,             0.76599,             0.83527,             0.56758,            0.036903,            0.030673,           0.0050904,           0.0016971,           0.0016971,            0.083397
                  23,            0.040719,            0.055935,            0.011604,             0.83633,             0.76723,             0.83522,             0.57521,            0.036924,            0.030465,           0.0050049,            0.001765,            0.001765,            0.082665
                  24,            0.040239,             0.05337,            0.011055,             0.86523,             0.75672,             0.83581,             0.57552,            0.036837,            0.030303,           0.0050018,           0.0018324,           0.0018324,            0.081932
                  25,            0.041977,            0.053506,            0.010011,             0.85862,             0.75737,             0.84194,             0.57829,            0.036866,            0.030134,           0.0047618,           0.0018992,           0.0018992,            0.081199
                  26,            0.041593,            0.057712,           0.0096827,             0.86597,             0.75651,             0.84533,             0.58254,            0.036833,            0.029899,           0.0045923,           0.0019655,           0.0019655,            0.080466
                  27,            0.039776,            0.048498,            0.010266,             0.88819,             0.73722,             0.84861,             0.59298,            0.035968,             0.02956,           0.0045497,           0.0020313,           0.0020313,            0.079731
                  28,            0.042715,            0.053388,            0.010594,             0.88091,             0.75974,             0.85271,             0.59584,            0.035934,            0.029543,           0.0044125,           0.0020966,           0.0020966,            0.078997
                  29,            0.040059,            0.052751,           0.0096123,             0.84819,             0.78368,             0.85437,             0.59236,            0.036396,            0.029653,           0.0043195,           0.0021613,           0.0021613,            0.078261
                  30,            0.041315,            0.052473,           0.0088785,             0.85495,             0.78281,             0.85108,             0.58938,            0.036203,            0.029399,           0.0042546,           0.0022255,           0.0022255,            0.077525
                  31,            0.040192,            0.055007,           0.0098538,             0.85227,              0.7825,             0.84934,             0.59502,            0.035679,            0.029279,           0.0041439,           0.0022891,           0.0022891,            0.076789
                  32,            0.042104,            0.053062,           0.0096421,             0.85612,             0.79342,             0.85388,             0.58372,            0.036421,             0.02912,           0.0041021,           0.0023523,           0.0023523,            0.076052
                  33,            0.042013,            0.053796,           0.0098769,             0.88458,             0.77905,             0.85562,             0.59055,            0.035708,            0.028654,           0.0040465,           0.0024149,           0.0024149,            0.075315
                  34,            0.037802,             0.04692,            0.008972,             0.89869,             0.78362,             0.85943,             0.59567,            0.036238,             0.02847,           0.0039628,            0.002477,            0.002477,            0.074577
                  35,            0.038481,            0.050205,           0.0092673,               0.906,             0.77809,             0.86117,             0.60941,            0.035645,            0.027919,           0.0039797,           0.0025385,           0.0025385,            0.073839
                  36,            0.039538,            0.051169,            0.008607,             0.89883,             0.77356,             0.86361,             0.60625,            0.035456,            0.027788,           0.0039382,           0.0025995,           0.0025995,              0.0731
                  37,             0.03866,            0.045944,           0.0093836,              0.8938,             0.78472,             0.86656,             0.60674,            0.035486,            0.027775,           0.0038836,             0.00266,             0.00266,             0.07236
